id;nombre;descripcion;bono_creditos;dia;tipo;opcion_1;opcion_2;opcion_3;opcion_4;enlace;opcion_correcta
1;Dinánmico Ingeniero acceso;withdrawal bluetooth;45667;primary;Arroyo Genérico;Marketing cross-platform;reinvent Camino Papelería;Madera Extremadura paradigms;Metal;Violeta;97905
2;front-end world-class Pollo;invoice Adelante disintermediate;36468;calculating Int;Tácticas;Mercados Pound transition;clicks-and-mortar;Pollo application;Configurable Jefe;Optimización;99547
3;Teclado Account;Salchichas;41546;driver RSS;de;programming SQL 24/7;granular;IB Gorro;Producto Negro Papelería;Conjunto;67650
4;Pre-emptivo dinámica;wireless;99422;bluetooth;SAS Librería;Account;supply-chains;quantify Azul;Account;Salida Cambridgeshire haptic;73481
5;móbil;Pública drive;79271;HTTP models;Buckinghamshire;Aragón Ensalada Avon;hacking;Account;dinámica;Dollar Administrador;27804
6;leading-edge Madrid Queso;protocol neutral;10784;Sopa;Mancha Azul Ext;productize B2B auxiliary;algoritmo;Plástico multi-byte;Portugal de;Bahamian;28440
7;Seguro;Jefe Verde matrix;89683;Avon Account;Ordenador local;Violeta;parsing Caribbean;Algodón quantifying;Diseñador Progresivo;Rojo;91140
8;Director;metodologías;23830;Baleares;innovate synerg;methodologies mano Asturias;indexing Bicicleta Increible;Tácticas;Ordenador;Rioja Micronesia Camino;50579
9;Murcia;Optimizado distributed;89906;SAS blockchains;Jefe;Representante bandwidth;Aldea JSON Somoni;Artesanal;solutions;Bacon Extremadura Guatemala;67135
10;payment en EXE;circuit;51986;sensor y Identi;impactful;portals;Administrador Gris Informática;Chalet Decoración de;compress drive Parcela;haptic;22382
